"title","audience_score","critic_score","genre"
"Waking Life","63%","78%","animation"
"Dr. Seuss' Horton Hears a Who!",NA,NA,"animation"
"The Willoughbys",NA,NA,"animation"
"The Boxtrolls",NA,NA,"animation"
"Beetlejuice Beetlejuice","91%","95%","crime"
"Rebel Ridge","75%","80%","crime"
"His Three Daughters","76%","92%","crime"
"Slow Horses: Season 4","61%","85%","crime"
"Hit Man","82%","94%","crime"
"The Bikeriders","87%","85%","crime"
"Logan Lucky","84%","75%","crime"
"The Killer","94%","99%","crime"
"Love Lies Bleeding","64%","100%","crime"
"The Batman","84%","93%","crime"
"The Gentlemen","90%","96%","crime"
"L.A. Confidential","98%","97%","crime"
"LaRoy, Texas","73%","74%","crime"
"Killers of the Flower Moon","85%","92%","crime"
"Anatomy of a Fall","79%","96%","crime"
"The Godfather","86%","93%","crime"
"Nocturnal Animals","98%","83%","crime"
"Blue Ruin","83%","89%","crime"
"No Country for Old Men","95%","95%","crime"
"Guy Ritchie's The Covenant","87%","81%","crime"
"Emily the Criminal","95%","83%","crime"
"Eastern Promises","97%","91%","crime"
"The Silence of the Lambs","86%","95%","crime"
"City of God","96%","92%","crime"
"The Irishman","81%","91%","crime"
"The Last Stop in Yuma County","77%","90%","crime"
"The Stranger","79%","93%","crime"
"Pulp Fiction","86%","95%","crime"
"El Camino: A Breaking Bad Movie","88%","97%","crime"
"Hell or High Water","80%","85%","crime"
"Ocean's Eleven","81%","86%","crime"
"Gone Girl","95%","75%","crime"
"The Departed","94%","83%","crime"
"The Talented Mr. Ripley","77%","92%","crime"
"Sweeney Todd: The Demon Barber of Fleet Street","97%","95%","crime"
"The Professional","67%","76%","crime"
"Dragged Across Concrete","93%","98%","crime"
"Inside Man","89%","96%","crime"
"The Godfather, Part II","85%","92%","crime"
"Catch Me if You Can","76%","75%","crime"
"The Town","82%","84%","crime"
"The Usual Suspects","92%","98%","crime"
"The Good Nurse","93%","79%","crime"
"The Lincoln Lawyer","94%","90%","crime"
"The Crime Is Mine","76%","89%","crime"
"Reservoir Dogs","82%","91%","crime"
"The Drop","74%","92%","crime"
"Jackie Brown","86%","86%","crime"
"Bad Times at the El Royale","90%","87%","crime"
"Good Time","89%","81%","crime"
"American Hustle","66%","88%","crime"
"The Girl With the Dragon Tattoo","92%","86%","crime"
"Wind River","89%","90%","crime"
"American Gangster","68%","80%","crime"
"The Outfit","93%","86%","crime"
"The Dry","84%","86%","crime"
"Nightmare Alley","86%","85%","crime"
"True Romance","92%","95%","crime"
"Once Upon a Time in America","71%","91%","crime"
"End of Watch","75%","78%","crime"
"Memories of Murder","83%","96%","crime"
"Enola Holmes","89%","89%","crime"
"The Pledge","87%","90%","crime"
"The Place Beyond the Pines","95%","94%","crime"
"Mystic River","86%","94%","crime"
"Three Billboards Outside Ebbing, Missouri","80%","89%","crime"
"In the Name of the Father","90%","96%","crime"
"Primal Fear","66%","79%","crime"
"Gone Baby Gone","81%","96%","crime"
"Minority Report","85%","93%","crime"
"Dog Day Afternoon","68%","73%","crime"
"All the Money in the World","59%","92%","crime"
"Body Heat","78%","76%","crime"
"Black Mass","80%","95%","crime"
"No Sudden Move","95%","100%","crime"
"Sin City","79%","93%","crime"
"Patriots Day","84%","81%","crime"
"Man From Reno","74%","80%","crime"
"Enola Holmes 2","86%","86%","crime"
"Layer Cake","72%","89%","crime"
"The Bank Job","74%","94%","crime"
"The Godfather, Coda: The Death of Michael Corleone","81%","97%","crime"
"Before the Devil Knows You're Dead","88%","94%","crime"
"Out of Sight","89%","88%","crime"
"Killer Joe","86%","81%","crime"
"The Hate U Give","89%","83%","crime"
"Blood Simple","89%","100%","crime"
"Donnie Brasco","85%","96%","crime"
"Road to Perdition","61%","91%","crime"
"The Untouchables","81%","78%","crime"
"Shadow of a Doubt","88%","93%","crime"
"The Act of Killing","73%","88%","crime"
"Blood for Dust","87%","96%","crime"
"Lock, Stock and Two Smoking Barrels","77%","89%","crime"
"The French Connection","95%","97%","crime"
"A Simple Plan","91%","100%","crime"
"I Don't Feel at Home in This World Anymore","91%","84%","crime"
"Double Indemnity","92%","93%","crime"
"Anatomy of a Murder","87%","82%","crime"
"Cop Land","69%","90%","crime"
"Carlito's Way","81%","82%","crime"
"Out of the Past","87%","95%","crime"
"The Raid 2","86%","84%","crime"
"A Most Violent Year","44%","74%","crime"
"The Long Goodbye","90%","93%","crime"
"Ghost Dog: The Way of the Samurai","90%","97%","crime"
"Killing Them Softly","100%","91%","crime"
"State of Play","57%","86%","crime"
"Miller's Crossing","84%","94%","crime"
"Raging Fire","88%","90%","crime"
"Bad Lieutenant: Port of Call New Orleans","82%","85%","crime"
"Mean Streets","85%","73%","crime"
"Bonnie and Clyde","82%","88%","crime"
"Dolores Claiborne",NA,NA,"crime"
"The Maltese Falcon",NA,NA,"crime"
"American Animals",NA,NA,"crime"
"Beetlejuice Beetlejuice","73%","86%","scifi"
"Rebel Ridge","89%","90%","scifi"
"His Three Daughters","78%","80%","scifi"
"Slow Horses: Season 4","72%","84%","scifi"
"A Quiet Place: Day One","68%","73%","scifi"
"Furiosa: A Mad Max Saga","79%","92%","scifi"
"Kingdom of the Planet of the Apes","94%","93%","scifi"
"I Saw the TV Glow","86%","73%","scifi"
"Poor Things","95%","92%","scifi"
"Marvel's the Avengers","94%","94%","scifi"
"Dune: Part Two","98%","98%","scifi"
"Edge of Tomorrow","74%","94%","scifi"
"Avengers: Endgame","83%","96%","scifi"
"Godzilla Minus One","79%","93%","scifi"
"A Quiet Place","94%","82%","scifi"
"The Martian","86%","97%","scifi"
"Everything Everywhere All at Once","69%","83%","scifi"
"Guardians of the Galaxy Vol. 3","92%","85%","scifi"
"Mad Max: Fury Road","88%","88%","scifi"
"Avengers: Infinity War","92%","91%","scifi"
"Iron Man","88%","88%","scifi"
"The Terminator","42%","82%","scifi"
"A Quiet Place Part II","85%","83%","scifi"
"Star Wars: The Last Jedi","92%","76%","scifi"
"Blade Runner 2049","90%","83%","scifi"
"High Life","78%","93%","scifi"
"The Matrix","45%","79%","scifi"
"Avatar: The Way of Water","56%","82%","scifi"
"M3GAN","82%","76%","scifi"
"Captain Marvel","94%","92%","scifi"
"No One Will Save You","82%","95%","scifi"
"Avengers: Age of Ultron","63%","86%","scifi"
"Eternal Sunshine of the Spotless Mind","84%","94%","scifi"
"They Cloned Tyrone","95%","91%","scifi"
"The Beast","80%","87%","scifi"
"War for the Planet of the Apes","91%","90%","scifi"
"Terminator 2: Judgment Day","66%","81%","scifi"
"Thor: Ragnarok","52%","87%","scifi"
"Donnie Darko","72%","80%","scifi"
"X-Men: Days of Future Past","92%","92%","scifi"
"Infinity Pool","78%","79%","scifi"
"Guardians of the Galaxy","77%","82%","scifi"
"Ad Astra",NA,NA,"scifi"
"Iron Man 3",NA,NA,"scifi"
"Rise of the Planet of the Apes",NA,NA,"scifi"
"Beetlejuice Beetlejuice","82%","83%","fantasy"
"Rebel Ridge","74%","91%","fantasy"
"His Three Daughters","88%","97%","fantasy"
"Slow Horses: Season 4","90%","87%","fantasy"
"The Boy and the Heron","95%","92%","fantasy"
"The Crow","90%","94%","fantasy"
"Poor Things","98%","93%","fantasy"
"Marvel's the Avengers","79%","93%","fantasy"
"Dune: Part Two","94%","94%","fantasy"
"Avengers: Endgame","91%","96%","fantasy"
"Spider-Man: No Way Home","95%","92%","fantasy"
"Everything Everywhere All at Once","94%","82%","fantasy"
"The Dark Knight","94%","95%","fantasy"
"All of Us Strangers","92%","85%","fantasy"
"The Lord of the Rings: The Fellowship of the Ring","98%","91%","fantasy"
"Guardians of the Galaxy Vol. 3","89%","98%","fantasy"
"Spider-Man: Across the Spider-Verse","91%","94%","fantasy"
"Avengers: Infinity War","93%","91%","fantasy"
"Shang-Chi and the Legend of the Ten Rings","91%","93%","fantasy"
"Inside Out","91%","82%","fantasy"
"Iron Man","96%","96%","fantasy"
"Dungeons & Dragons: Honor Among Thieves","41%","91%","fantasy"
"Spirited Away","92%","76%","fantasy"
"Star Wars: The Last Jedi","90%","83%","fantasy"
"Black Panther: Wakanda Forever","86%","94%","fantasy"
"Evil Dead Rise","45%","79%","fantasy"
"Avatar: The Way of Water","87%","92%","fantasy"
"The Lord of the Rings: The Return of the King","92%","95%","fantasy"
"Captain Marvel","89%","90%","fantasy"
"Spider-Man: Homecoming","94%","97%","fantasy"
"Avengers: Age of Ultron","75%","80%","fantasy"
"The Nightmare Before Christmas","91%","99%","fantasy"
"Captain America: Civil War","95%","91%","fantasy"
"Spider-Man: Into the Spider-Verse","87%","93%","fantasy"
"Captain America: The First Avenger","92%","90%","fantasy"
"How to Train Your Dragon","95%","95%","fantasy"
"Spider-Man: Far From Home","80%","87%","fantasy"
"Thor: Ragnarok","84%","77%","fantasy"
"Captain America: The Winter Soldier","92%","100%","fantasy"
"The Lord of the Rings: The Two Towers","91%","90%","fantasy"
"Donnie Darko","91%","90%","fantasy"
"Toy Story","93%","73%","fantasy"
"X-Men: Days of Future Past","92%","77%","fantasy"
"Edward Scissorhands","92%","92%","fantasy"
"The Prestige","78%","79%","fantasy"
"Guardians of the Galaxy","90%","88%","fantasy"
"Tim Burton's Corpse Bride","82%","81%","fantasy"
"Black Panther","71%","72%","fantasy"
"Iron Man 3","84%","93%","fantasy"
"Harry Potter and the Sorcerer's Stone","77%","72%","fantasy"
"Iron Man 2","50%","89%","fantasy"
"Star Wars: The Force Awakens","45%","84%","fantasy"
"Toy Story 4","85%","74%","fantasy"
"Ready Player One","67%","91%","fantasy"
"The Green Knight","86%","80%","fantasy"
"Janet Planet","94%","98%","fantasy"
"The Hobbit: The Desolation of Smaug","66%","79%","fantasy"
"A Ghost Story","87%","76%","fantasy"
"Pirates of the Caribbean: The Curse of the Black Pearl","90%","87%","fantasy"
"Your Name","90%","100%","fantasy"
"Star Wars: Episode III - Revenge of the Sith","87%","100%","fantasy"
"Jumanji: Welcome to the Jungle","94%","85%","fantasy"
"The Dark Knight Rises","76%","77%","fantasy"
"The Tale of the Princess Kaguya","87%","84%","fantasy"
"Toy Story 2","90%","98%","fantasy"
"Batman Begins","51%","83%","fantasy"
"Rogue One: A Star Wars Story","89%","96%","fantasy"
"Toy Story 3","93%","87%","fantasy"
"Charlie and the Chocolate Factory","76%","97%","fantasy"
"The Green Mile","50%","76%","fantasy"
"Harry Potter and the Deathly Hallows: Part 2","65%","87%","fantasy"
"Howl's Moving Castle","86%","89%","fantasy"
"The Lobster","73%","82%","fantasy"
"Doctor Strange","91%","83%","fantasy"
"Batman Returns","93%","91%","fantasy"
"Ultraman: Rising","89%","91%","fantasy"
"Spider-Man 2","87%","86%","fantasy"
"Guardians of the Galaxy Vol. 2","67%","90%","fantasy"
"Kung Fu Hustle","97%","95%","fantasy"
"X-Men: First Class","96%","93%","fantasy"
"Spider-Man","91%","95%","fantasy"
"Turning Red","70%","80%","fantasy"
"Star Wars: Episode V - The Empire Strikes Back","83%","82%","fantasy"
"Star Wars: Episode IV - A New Hope","83%","93%","fantasy"
"Pan's Labyrinth","86%","90%","fantasy"
"The Old Guard","70%","85%","fantasy"
"X-Men","85%","83%","fantasy"
"Wonder Woman","80%","72%","fantasy"
"Harry Potter and the Prisoner of Azkaban","77%","91%","fantasy"
"Bridge to Terabithia","57%","74%","fantasy"
"Ant-Man","64%","81%","fantasy"
"The Curious Case of Benjamin Button","49%","74%","fantasy"
"The Imaginary","79%","74%","fantasy"
"The BFG","89%","98%","fantasy"
"Wendell & Wild","69%","89%","fantasy"
"Fantastic Beasts and Where to Find Them","79%","87%","fantasy"
"The Wizard of Oz","82%","98%","fantasy"
"Shrek 2","61%","80%","fantasy"
"My Neighbor Totoro","87%","90%","fantasy"
"Ant-Man and The Wasp","74%","88%","fantasy"
"1408","85%","85%","fantasy"
"How to Train Your Dragon: The Hidden World","86%","94%","fantasy"
"Harry Potter and the Goblet of Fire","86%","77%","fantasy"
"Time Bandits","90%","96%","fantasy"
"Superman: The Movie","64%","75%","fantasy"
"The Iron Giant","87%","97%","fantasy"
"A.I.: Artificial Intelligence","50%","84%","fantasy"
"Monster House","87%","89%","fantasy"
"Hellboy II: The Golden Army","83%","93%","fantasy"
"King Kong","80%","82%","fantasy"
"Midnight in Paris","80%","86%","fantasy"
"The Shape of Water","98%","98%","fantasy"
"Harry Potter and the Chamber of Secrets","78%","84%","fantasy"
"Star Trek Beyond","90%","96%","fantasy"
"Jujutsu Kaisen 0: The Movie","85%","89%","fantasy"
"Harry Potter and the Half-Blood Prince","82%","90%","fantasy"
"Princess Mononoke","86%","97%","fantasy"
"Guillermo del Toro's Pinocchio","90%","96%","fantasy"
"Shazam!",NA,NA,"fantasy"
"Kubo and the Two Strings",NA,NA,"fantasy"
"Monsters, Inc.",NA,NA,"fantasy"
